MAP 	PAP 	PAV 	MAV 	ID
18	21	8	7	1 
13	14	13	17	2 
14	15	11	17	3 
21	21	8	19	4 
19	17	8	16	5 
20	21	3	4	6 
16	15	14	16	7 
14	17	12	14	8 
13	11	8	9	9 
8	11	8	9	10 
15	19	14	15	11 
15	19	12	13	12 
17	20	16	17	13 
9	7	5	7	14 
10	8	11	12	15 
11	3	5	6	16 
21	20	19	17	17 
21	9	13	8	18 
15	15	17	15	19 
13	17	14	11	20 
13	14	14	9	21 
16	15	13	14	22 
12	12	7	18	23 
17	19	16	3	24 
21	15	21	17	25 
21	6	11	8	26 
18	17	10	19	27 
14	8	10	8	28 
16	14	9	15	29 
15	6	13	9	30 
16	17	11	13	31 
17	18	10	12	32 
14	15	21	16	33 
21	20	21	21	34 
19	17	20	14	35 
18	9	15	7	36 
13	14	3	3	37 
20	21	6	4	38 
19	15	16	14	39 
21	21	10	8	40 
18	21	9	5	41 
11	9	9	11	42 
20	18	6	8	43 
17	15	13	15	44 
19	9	16	17	45 
14	17	16	18	46 
13	13	14	10	47 
16	18	11	14	48 
18	20	19	15	49 
13	15	11	16	50 
15	12	11	11	51 
21	21	21	21	52 
21	18	11	13	53 
14	19	9	13	54 
10	10	10	11	55 
18	9	8	10	56 
16	14	12	15	57 
12	16	10	14	58 
18	11	10	12	59 
19	11	15	13	60 
19	15	14	15	61 
20	21	18	19	62 
21	17	20	18	63 
16	4	12	7	64 
12	14	18	14	65 
12	15	10	14	66 
12	6	12	11	67 
11	11	9	9	68 
20	21	18	20	69 
19	17	12	9	70 
19	18	6	13	71 
17	12	8	13	72 
12	16	13	19	73 
17	21	12	18	74 
16	4	14	3	75 
18	19	9	7	76 
16	21	14	14	77 
11	15	14	15	78 
12	9	15	8	79 
19	20	4	3	80 
21	10	15	13	81 
9	17	9	11	82 
20	16	16	16	83 
16	12	8	12	84 
13	9	10	10	85 
14	17	13	13	86 
16	11	16	17	87 
16	7	9	7	88 
20	18	14	18	89 
19	16	13	16	90 
8	8	5	10	91 
18	15	13	15	92 
21	20	12	16	93 
15	15	15	14	94 
14	15	14	13	95 
17	18	14	18	96 
15	16	14	16	97 
18	18	17	14	98 
17	17	16	17	99 
13	4	4	4	100 
18	18	19	9	101 
5	13	6	16	102 
14	10	12	8	103 
17	16	8	11	104 
19	13	5	7	105 
21	21	8	21	106 
19	17	15	18	107 
15	18	8	12	108 
19	9	15	13	109 
12	13	14	16	110 
20	11	12	13	111 
15	14	8	11	112 
17	13	15	15	113 
14	11	11	13	114 
16	18	10	9	115 
13	13	12	10	116 
13	14	12	17	117 
10	10	10	12	118 
11	12	12	17	119 
20	15	8	10	120 
19	13	14	14	121 
18	18	12	13	122 
9	13	12	13	123 
17	17	17	17	124 
12	11	15	14	125 
21	11	10	12	126 
14	17	8	17	127 
